Town,Year,PropertyType,NumSales,MedianSale,AvgSalesRatio
Avon,2010.0,nan,17,308000.0,0.7693764414117646
Avon,2011.0,Condo,77,207250.0,0.780912509375
Avon,2011.0,Single Family,221,430000.0,0.8178749449909503
Avon,2011.0,Three Family,1,313000.0,0.717635783
Avon,2011.0,nan,17,329000.0,0.713497853
Avon,2012.0,Condo,86,285968.0,0.9325666144117648
Avon,2012.0,Single Family,247,440000.0,0.9891957033765182
Avon,2012.0,Two Family,1,242000.0,0.905950413
Avon,2012.0,nan,31,250845.25,6.982764222577382
Avon,2013.0,Condo,98,230500.0,0.8696008214183674
Avon,2013.0,Single Family,189,455000.0,1.4544955993492064
Avon,2013.0,nan,25,250000.0,1.2325632782
Avon,2014.0,Condo,27,227750.0,0.7076638790192308
Avon,2014.0,Single Family,71,383000.0,0.769758894056338
Avon,2014.0,nan,4,155500.0,0.30689729525
Avon,2015.0,Condo,114,222500.0,0.7733415513973214
Avon,2015.0,Single Family,270,418500.0,0.8621113631222223
Avon,2015.0,nan,26,231950.0,0.8651366114615384
Avon,2016.0,Condo,100,225500.0,0.7090110906717172
Avon,2016.0,Single Family,283,402000.0,0.9087212688833923
Avon,2016.0,nan,16,175000.0,1.6206216770625002
Avon,2017.0,Condo,111,205000.0,0.7985712191711712
Avon,2017.0,Single Family,260,399950.0,1.358341865423077
Avon,2017.0,Three Family,1,263000.0,0.842889734
Avon,2017.0,nan,16,206000.0,0.855437711125
Avon,2018.0,Condo,87,220375.0,0.7864840905988373
Avon,2018.0,Single Family,207,419000.0,0.947692593642512
Avon,2018.0,nan,14,250000.0,0.7446891985714286
Avon,2019.0,Condo,35,209750.0,0.7548066666666666
Avon,2019.0,Single Family,67,351250.0,0.821971753875969
Avon,2019.0,nan,5,3514894.5,0.7287083333333333
Avon,2020.0,Commercial,2,1031500.0,0.629
Avon,2020.0,Condo,108,199750.0,0.7528026113671276
Avon,2020.0,Industrial,1,390000.0,0.767
Avon,2020.0,Residential,135,327500.0,0.6905169289777778
Avon,2020.0,Single Family,211,405250.0,1.6445093128109454
Avon,2020.0,Vacant Land,4,171250.0,0.612182306
